Category,Answer
Cause,"Earthquake: Caused by the sudden release of energy in the Earth's crust, usually due to tectonic plate movements. This can occur along fault lines or boundaries where the plates collide, slide past each other, or separate."
Cause,"Tsunami: Generated by underwater disturbances such as earthquakes, volcanic eruptions, or landslides. These disturbances displace large volumes of water, creating powerful ocean waves that can travel long distances."
Cause,"Volcanic Eruption: Triggered by the rise of molten rock (magma) from deep within the Earth's mantle. When the pressure becomes too great, the magma is expelled through a volcano, releasing gases, ash, and lava onto the surface."
Cause,"Hurricane: Formed over warm ocean waters when a combination of low atmospheric pressure, high humidity, and wind patterns create a spinning storm system. The warm ocean water provides the energy source for the hurricane to intensify."
Cause,"Tornado: Created by the collision of warm, moist air from the south and cold, dry air from the north. Atmospheric instability, temperature contrasts, and wind shear cause the air to rotate vertically, forming a destructive funnel-shaped cloud."
Cause,"Flood: Caused by excessive rainfall, rapid snowmelt, or the failure of dams or levees. When the amount of water exceeds the capacity of rivers, lakes, or drainage systems, it overflows and inundates surrounding areas."
Cause,Drought: Occurs when there is an extended period of significantly below-average precipitation leading to a lack of water supply. High temperatures and evaporation rates exacerbate the drying of soil and vegetation.
Cause,"Wildfire: Ignited by a combination of dry and hot weather, lightning strikes, or human activities such as campfires or careless burning. Once ignited, wildfires spread rapidly, fueled by dry vegetation and driven by wind."
Cause,"Blizzard: Characterized by strong winds, blowing snow, and freezing temperatures. Blizzards typically occur during winter storms when there is abundant moisture in the air and a strong low-pressure system."
Cause,"Landslide: Caused by heavy rainfall saturating the ground, earthquake activity destabilizing slopes, or human activities altering the natural landscape. The gravitational force pulls loose soil and rock downslope, often triggered by a specific event."
Cause,"Avalanche: Occurs when a mass of snow rapidly slides down a mountainside. Factors that contribute to avalanches include heavy snowfall, steep slopes, changes in temperature, or human activity like skiing or snowmobiling."
Cause,"Cyclone: Similar to hurricanes, cyclones are large-scale rotating storm systems. They form over warm ocean waters and are characterized by low atmospheric pressure, high humidity, and distinct wind patterns."
Cause,Heatwave: A prolonged period of excessively hot weather caused by high-pressure systems that trap warm air in a region. Heatwaves are often intensified by human-induced climate change.
Cause,"Hailstorm: Generated by updrafts in thunderstorms, where raindrops are lifted to higher altitudes within the storm cloud and freeze into ice pellets. Hailstones grow in size as they are repeatedly carried by updrafts and downdrafts."
