Query,Labels
What makes the ground shake during an earthquake?,Cause
What causes the earth to tremble and buildings to collapse?,Cause
What happens underground to create an earthquake?,Cause
What causes the earth to shake violently during an earthquake?,Cause
What are the factors that contribute to the occurrence of earthquakes?,Cause
What leads to the formation of a hurricane?,Cause
What causes powerful winds and heavy rainfall during a hurricane?,Cause
What conditions are necessary for a hurricane to form?,Cause
What factors make a hurricane grow stronger and more destructive?,Cause
What are the main elements that drive the formation of a hurricane?,Cause
What makes rivers and lakes overflow their banks during a flood?,Cause
What causes water to accumulate and submerge areas during a flood?,Cause
What factors contribute to the rising water levels during a flood?,Cause
What are the main causes of flooding in river basins and coastal areas?,Cause
What are the factors that lead to excessive rainfall and flooding?,Cause
What causes a swirling funnel of wind to form during a tornado?,Cause
What leads to destructive twisters and flying debris during a tornado?,Cause
What atmospheric conditions are needed for a tornado to develop?,Cause
What factors contribute to the spinning motion of a tornado?,Cause
What are the primary causes of the destructive power of a tornado?,Cause
What triggers giant waves in the ocean during a tsunami?,Cause
What causes widespread flooding and devastation along coastal areas during a tsunami?,Cause
What events trigger the formation of a tsunami?,Cause
What factors determine the size and impact of a tsunami wave?,Cause
What causes the massive waves to travel great distances during a tsunami?,Cause
What causes molten lava and gases to erupt from a volcano?,Cause
What leads to ash clouds and pyroclastic flows during a volcanic eruption?,Cause
What geological processes lead to a volcanic eruption?,Cause
What factors contribute to the release of lava and gases from a volcano?,Cause
What are the primary causes of volcanic explosions and ash clouds?,Cause
What causes a long period of dry weather and lack of rainfall during a drought?,Cause
What leads to water scarcity and crop failure during a drought?,Cause
What climatic conditions contribute to the onset of a drought?,Cause
What factors cause a prolonged period of little or no rainfall?,Cause
What are the main causes of water scarcity during a drought?,Cause
What causes large and uncontrolled fires to spread rapidly during a wildfire?,Cause
What leads to the destruction of forests and habitats during a wildfire?,Cause
What factors make forests and vegetation highly susceptible to wildfires?,Cause
What causes a spark or ignition to start a wildfire?,Cause
What are the primary factors that allow wildfires to spread rapidly?,Cause
What triggers a mass movement of snow and ice down a mountain during an avalanche?,Cause
"What causes a sudden release of snow, burying everything in its path during an avalanche?",Cause
What conditions lead to the instability of snow and trigger an avalanche?,Cause
What factors cause a sudden release of snow from a mountainside?,Cause
What are the primary causes of avalanches and their destructive force?,Cause
What causes a large mass of rock and soil to slide down a slope during a landslide?,Cause
What leads to the collapse of hillsides and the destruction of structures during a landslide?,Cause
